scheme,B,trial,time_ns
PPS-GC,100,67,995578
PPS-GC,100,68,1186282
PPS-GC,100,69,972886
PPS-GC,100,70,990709
PPS-GC,100,71,965222
PPS-GC,100,72,965202
PPS-GC,100,73,973346
PPS-GC,100,74,993714
PPS-GC,100,75,998544
PPS-GC,100,76,960293
PPS-GC,100,77,1376145
PPS-GC,100,78,1679157
PPS-GC,100,79,1489646
PPS-GC,100,80,976042
PPS-GC,100,81,961505
PPS-GC,100,82,960373
PPS-GC,100,83,960112
PPS-GC,100,84,1010887
PPS-GC,100,85,1739709
PPS-GC,100,86,1460832
PPS-GC,100,87,1062442
PPS-GC,100,88,1098379
PPS-GC,100,89,1086326
PPS-GC,100,90,1149985
PPS-GC,100,91,1171244
PPS-GC,100,92,1811582
PPS-GC,100,93,1245873
PPS-GC,100,94,1033699
PPS-GC,100,95,965242
PPS-GC,100,96,965893
PPS-GC,100,97,1868839
PPS-GC,100,98,1628934
PPS-GC,100,99,961425
PPS-GC,316,0,3177458
PPS-GC,316,1,3116796
PPS-GC,316,2,3121885
PPS-GC,316,3,3840703
PPS-GC,316,4,3292921
PPS-GC,316,5,3484586
PPS-GC,316,6,4358216
PPS-GC,316,7,3105473
PPS-GC,316,8,4802044
PPS-GC,316,9,2828887
PPS-GC,316,10,2832386
PPS-GC,316,11,3360460
PPS-GC,316,12,3869457
PPS-GC,316,13,2876422
PPS-GC,316,14,3508059
PPS-GC,316,15,2933766
PPS-GC,316,16,2923131
PPS-GC,316,17,3480164
PPS-GC,316,18,3415359
PPS-GC,316,19,3916404
PPS-GC,316,20,3886961
PPS-GC,316,21,3274069
PPS-GC,316,22,3450716
PPS-GC,316,23,2848701
PPS-GC,316,24,3424781
PPS-GC,316,25,3451746
PPS-GC,316,26,2794733
PPS-GC,316,27,2872693
PPS-GC,316,28,3482014
PPS-GC,316,29,2851121
PPS-GC,316,30,2820375
PPS-GC,316,31,3447181
PPS-GC,316,32,3392909
PPS-GC,316,33,3560058
PPS-GC,316,34,3315772
PPS-GC,316,35,2819401
PPS-GC,316,36,4442658
PPS-GC,316,37,3484843
PPS-GC,316,38,2841891
PPS-GC,316,39,3453766
PPS-GC,316,40,2837125
PPS-GC,316,41,3477157
PPS-GC,316,42,2993496
PPS-GC,316,43,4345316
PPS-GC,316,44,2946356
PPS-GC,316,45,3484889
PPS-GC,316,46,4009894
PPS-GC,316,47,2886047
PPS-GC,316,48,4026765
PPS-GC,316,49,2822119
PPS-GC,316,50,2955999
PPS-GC,316,51,3447304
PPS-GC,316,52,3832400
PPS-GC,316,53,2928916
PPS-GC,316,54,2842810
PPS-GC,316,55,3946641
PPS-GC,316,56,2952206
PPS-GC,316,57,2948367
PPS-GC,316,58,3529771
PPS-GC,316,59,4317264
PPS-GC,316,60,2822789
PPS-GC,316,61,3595754
PPS-GC,316,62,2863721
PPS-GC,316,63,2813064
PPS-GC,316,64,3468799
PPS-GC,316,65,4128176
PPS-GC,316,66,3589840
PPS-GC,316,67,3819609
PPS-GC,316,68,3467477
PPS-GC,316,69,3948915
PPS-GC,316,70,2825287
PPS-GC,316,71,3071401
PPS-GC,316,72,2849571
PPS-GC,316,73,2864735
PPS-GC,316,74,3493072
PPS-GC,316,75,2875449
PPS-GC,316,76,3337224
PPS-GC,316,77,2809419
PPS-GC,316,78,2783198
PPS-GC,316,79,2835720
PPS-GC,316,80,2878488
PPS-GC,316,81,2874301
PPS-GC,316,82,3959021
PPS-GC,316,83,4037951
PPS-GC,316,84,2973237
PPS-GC,316,85,3476289
PPS-GC,316,86,2987889
PPS-GC,316,87,3491942
PPS-GC,316,88,4102049
PPS-GC,316,89,3012714
PPS-GC,316,90,3424901
PPS-GC,316,91,2887755
PPS-GC,316,92,3663053
PPS-GC,316,93,3378047
PPS-GC,316,94,3693359
PPS-GC,316,95,2986764
PPS-GC,316,96,2841073
PPS-GC,316,97,3445862
PPS-GC,316,98,3476982
PPS-GC,316,99,2807453
PPS-GC,1000,0,10251580
PPS-GC,1000,1,10522273
PPS-GC,1000,2,9580690
PPS-GC,1000,3,9238110
PPS-GC,1000,4,9066844
PPS-GC,1000,5,10124356
PPS-GC,1000,6,9988737
PPS-GC,1000,7,10166068
PPS-GC,1000,8,10620270
PPS-GC,1000,9,10529477
PPS-GC,1000,10,8964005
PPS-GC,1000,11,9017306
PPS-GC,1000,12,9373837
PPS-GC,1000,13,9779838
PPS-GC,1000,14,9091741
PPS-GC,1000,15,9655050
PPS-GC,1000,16,9563334
PPS-GC,1000,17,10258172
PPS-GC,1000,18,9034788
PPS-GC,1000,19,10294016
PPS-GC,1000,20,8988088
PPS-GC,1000,21,9142479
PPS-GC,1000,22,9036281
PPS-GC,1000,23,10330392
PPS-GC,1000,24,9318366
PPS-GC,1000,25,10184712
PPS-GC,1000,26,9680986
PPS-GC,1000,27,9182097
PPS-GC,1000,28,10112766
PPS-GC,1000,29,10162266
PPS-GC,1000,30,9612081
PPS-GC,1000,31,10558531
PPS-GC,1000,32,9631852
PPS-GC,1000,33,11244535
PPS-GC,1000,34,9011502
PPS-GC,1000,35,9018339
PPS-GC,1000,36,8993116
PPS-GC,1000,37,10521414
PPS-GC,1000,38,9546247
PPS-GC,1000,39,9056411
PPS-GC,1000,40,9643423
PPS-GC,1000,41,10113507
PPS-GC,1000,42,9810540
PPS-GC,1000,43,9083540
PPS-GC,1000,44,9256192
PPS-GC,1000,45,10697771
PPS-GC,1000,46,10057425
PPS-GC,1000,47,9195839
PPS-GC,1000,48,9744692
PPS-GC,1000,49,9150278
PPS-GC,1000,50,10048278
PPS-GC,1000,51,10228740
PPS-GC,1000,52,9190065
PPS-GC,1000,53,9575640
PPS-GC,1000,54,9974414
